E (GeV), px (GeV), py (GeV), pz (GeV)
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
2.0000000000e+01,-0.0000000000e+00,-0.0000000000e+00,-2.0000000000e+01
